,Unnamed: 0,election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes,StreetAddress,City,State,ZipCode,category,NonReligious,ReligiousBuilding,BuildingType,Latitude,Longitude
19,19,11/3/2020,IA,Allamakee,Allamakee,county,PCT 8,UC/IA/NA CITY,0,election_day,NEW ALBIN COMMUNITY CENTER,"137 RAILROAD AVE SW, NEW ALBIN, IA 52160",0,ORR,10/9/2020,0,137 RAILROAD AVE SW,NEW ALBIN,IA,52160,NonReligious,1,0,NonReligious,43.49812569,-91.28805578
20,20,11/3/2020,IA,Allamakee,Allamakee,county,PCT 9,WK 1 CITY,0,election_day,FIRST BAPTIST CHURCH,"614 ROSSVILLE RD, WAUKON, IA 52172",0,ORR,10/9/2020,0,614 ROSSVILLE RD,WAUKON,IA,52172,"ReligiousBuilding, ReligiousBuilding",0,2,Religious,43.2644514,-91.47438211
21,21,11/3/2020,IA,Appanoose,Appanoose,county,BL,Bellair Lincoln,0,election_day,NUMA COMMUNITY CENTER,"104 WALNUT ST, NUMA, IA 52544",0,ORR,10/9/2020,0,104 WALNUT ST,NUMA,IA,52544,NonReligious,1,0,NonReligious,40.68884872,-92.97911333
22,22,11/3/2020,IA,Appanoose,Appanoose,county,CV1,Centerville W1,0,election_day,IHCC - BLDG #12,"721 N 1ST ST, CENTERVILLE, IA 52544",0,ORR,10/9/2020,0,721 N 1ST ST,CENTERVILLE,IA,52544,NonReligious,1,0,NonReligious,40.7396862,-92.88691934
23,23,11/3/2020,IA,Appanoose,Appanoose,county,CV2,Centerville W2,0,election_day,CENTERVILLE CITY HALL,"312 E MAPLE, CENTERVILLE, IA 52544",0,ORR,10/9/2020,0,312 E MAPLE,CENTERVILLE,IA,52544,NonReligious,1,0,NonReligious,40.73247197,-92.87113727
24,24,11/3/2020,IA,Appanoose,Appanoose,county,CV3,Centerville W3,0,election_day,YMCA,"708 S MAIN ST, CENTERVILLE, IA 52544",0,ORR,10/9/2020,0,708 S MAIN ST,CENTERVILLE,IA,52544,NonReligious,1,0,NonReligious,40.72783024,-92.87421665
25,25,11/3/2020,IA,Appanoose,Appanoose,county,CW,Caldwell,0,election_day,EXLINE COMMUNITY BUILDING,"112 W. MAIN ST, EXLINE, IA 52555",0,ORR,10/9/2020,0,112 W. MAIN ST,EXLINE,IA,52555,NonReligious,1,0,NonReligious,40.64812604,-92.83870993
26,26,11/3/2020,IA,Appanoose,Appanoose,county,JO,Johns Independence,0,election_day,CHRISTIAN CHURCH FELLOWSHIP HALL,"403 Front St, Plano, IA 52581",0,ORR,10/9/2020,0,403 Front St,Plano,IA,52581,"ReligiousBuilding, ReligiousBuilding",0,2,Religious,40.75640688,-93.0460259
27,27,11/3/2020,IA,Appanoose,Appanoose,county,PS,Pleasant Franklin,0,election_day,CINCINNATI COMMUNITY BLDG,"102 DEPOT LANE, CINCINNATI, IA 52549",0,ORR,10/9/2020,0,102 DEPOT LANE,CINCINNATI,IA,52549,NonReligious,1,0,NonReligious,40.61376582,-92.94643796
28,28,11/3/2020,IA,Appanoose,Appanoose,county,TY,Taylor Chariton,0,election_day,MORAVIA CITY HALL,"116 S WILLIAM, MORAVIA, IA 52571",0,ORR,10/9/2020,0,116 S WILLIAM,MORAVIA,IA,52571,NonReligious,1,0,NonReligious,40.89022488,-92.81461345
29,29,11/3/2020,IA,Appanoose,Appanoose,county,UD,Union/Udell,0,election_day,UNIONVILLE AMERICAN LEGION,"208 W Union St, Unionville, IA 52594",0,ORR,10/9/2020,0,208 W Union St,Unionville,IA,52594,NonReligious,1,0,NonReligious,40.81990127,-92.69797407
30,30,11/3/2020,IA,Appanoose,Appanoose,county,VM,Vermillion Douglas Sharon,0,election_day,COURTHOUSE-1ST FLOOR,"201 N 12TH, CENTERVILLE, IA 52544",0,ORR,10/9/2020,0,201 N 12TH,CENTERVILLE,IA,52544,NonReligious,1,0,NonReligious,40.73423515,-92.87498997
31,31,11/3/2020,IA,Appanoose,Appanoose,county,WALNUT,Walnut,0,election_day,MYSTIC COMMUNITY CENTER,"107 S 2ND ST, MYSTIC, IA 52574",0,ORR,10/9/2020,0,107 S 2ND ST,MYSTIC,IA,52574,NonReligious,1,0,NonReligious,40.77815213,-92.94547106
32,32,11/3/2020,IA,Appanoose,Appanoose,county,WS,Washington Wells,0,election_day,MOULTON CITY HALL,"111 S MAIN ST, MOULTON, IA 52572",0,ORR,10/9/2020,0,111 S MAIN ST,MOULTON,IA,52572,NonReligious,1,0,NonReligious,40.68401063,-92.67709546
33,33,11/3/2020,IA,Audubon,Audubon,county,1,Precinct 1,0,election_day,AUDUBON COUNTY FAIRGROUNDS,"400 N DIVISION ST W, AUDUBON, IA 50025",0,ORR,10/9/2020,0,400 N DIVISION ST W,AUDUBON,IA,50025,NonReligious,1,0,NonReligious,41.72416033,-94.94059201
