,Precinct Name,Registered Voters,Trump Election Day,Trump Absentee,Trump Total,Biden Election Day,Biden Absentee,Biden Total,Rocky Election Day,Rocky Absentee,Rocky Total,Don Election Day,Don Absentee,Don Total,Ricki Election Day,Ricki Absentee,Ricki Total,Howie Election Day,Howie Absentee,Howie Total,Jo Election Day,Jo Absentee,Jo Total,Brock Election Day,Brock Absentee,Brock Total,Kayne Election Day,Kayne Absentee,Kayne Total,Write-in Election Day,Write-in Absentee,Write-in Total,Total Votes,Precinct
654,GRANGER 1,292,123,35,158,42,48,90,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,0,0,0,0,0,0,1,0,1,255,Polk GRANGER 1
655,GRIMES 1,4696,1463,628,2091,650,1177,1827,0,1,1,1,1,2,0,1,1,3,2,5,40,24,64,1,1,2,7,2,9,6,4,10,4012,Polk GRIMES 1
656,GRIMES 2,3613,1037,412,1449,571,866,1437,1,1,2,2,4,6,1,0,1,3,3,6,35,14,49,0,1,1,1,2,3,4,6,10,2964,Polk GRIMES 2
657,GRIMES 3,1964,400,269,669,229,600,829,1,0,1,0,1,1,0,0,0,1,2,3,13,10,23,0,0,0,4,1,5,1,3,4,1535,Polk GRIMES 3
658,JEFFERSON 1,1802,654,273,927,210,416,626,0,2,2,0,0,0,0,1,1,1,1,2,6,7,13,0,1,1,2,0,2,2,3,5,1579,Polk JEFFERSON 1
659,JOHNSTON 1,2746,657,391,1048,364,836,1200,0,1,1,1,3,4,0,0,0,0,2,2,22,14,36,0,0,0,1,1,2,4,3,7,2300,Polk JOHNSTON 1
660,JOHNSTON 2,2925,498,334,832,378,974,1352,1,1,2,3,0,3,1,0,1,1,1,2,24,10,34,0,0,0,4,1,5,3,3,6,2237,Polk JOHNSTON 2
661,JOHNSTON 3,2148,483,394,877,204,695,899,1,1,2,0,2,2,0,0,0,1,0,1,15,13,28,1,0,1,2,0,2,7,1,8,1820,Polk JOHNSTON 3
662,JOHNSTON 4,2669,603,453,1056,301,900,1201,1,0,1,0,0,0,0,0,0,1,2,3,19,8,27,0,0,0,3,0,3,5,3,8,2299,Polk JOHNSTON 4
663,JOHNSTON 5,4652,983,635,1618,599,1363,1962,1,1,2,1,1,2,0,1,1,2,2,4,28,20,48,0,1,1,5,0,5,4,3,7,3650,Polk JOHNSTON 5
664,JOHNSTON 6,1526,426,234,660,182,480,662,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11,0,0,0,2,0,2,0,3,3,1338,Polk JOHNSTON 6
665,MADISON,137,18,28,46,8,30,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,Polk MADISON
666,MITCHELLVILLE,1903,701,196,897,245,374,619,0,1,1,0,1,1,2,0,2,3,1,4,20,2,22,0,0,0,1,1,2,1,0,1,1549,Polk MITCHELLVILLE
