,Precinct Name,Registered Voters,Trump Election Day,Trump Absentee,Trump Total,Biden Election Day,Biden Absentee,Biden Total,Rocky Election Day,Rocky Absentee,Rocky Total,Don Election Day,Don Absentee,Don Total,Ricki Election Day,Ricki Absentee,Ricki Total,Howie Election Day,Howie Absentee,Howie Total,Jo Election Day,Jo Absentee,Jo Total,Brock Election Day,Brock Absentee,Brock Total,Kayne Election Day,Kayne Absentee,Kayne Total,Write-in Election Day,Write-in Absentee,Write-in Total,Total Votes,Precinct
0,1 NW,0,384,244,628,90,125,215,0,2,2,0,0,0,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,0,1,1,853,Adair 1 NW
1,2 NE,0,343,245,588,69,181,250,0,0,0,0,3,3,0,0,0,0,0,0,5,5,10,0,0,0,1,1,2,1,0,1,854,Adair 2 NE
2,3 SW,0,375,235,610,64,134,198,1,1,2,0,1,1,0,0,0,0,0,0,1,1,2,0,0,0,2,0,2,0,0,0,815,Adair 3 SW
3,4 SE,0,329,230,559,65,169,234,0,0,0,0,0,0,0,0,0,0,2,2,5,1,6,0,0,0,1,1,2,3,0,3,806,Adair 4 SE
4,5 GF,0,282,250,532,87,214,301,0,2,2,0,0,0,0,0,0,1,1,2,6,4,10,0,1,1,1,0,1,0,0,0,849,Adair 5 GF
5,Pct 01 - WL/HV,357,100,79,179,15,73,88,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,269,Allamakee Pct 01 - WL/HV
6,Pct 02 - FC/JF/LL/MK/UP,1701,366,581,947,56,334,390,1,0,1,1,2,3,0,0,0,0,0,0,6,7,13,0,1,1,0,1,1,1,0,1,1357,Allamakee Pct 02 - FC/JF/LL/MK/UP
7,Pct 03 - PO/FK,488,117,168,285,11,82,93,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,381,Allamakee Pct 03 - PO/FK
8,Pct 04 - Postville City,873,182,148,330,76,158,234,1,0,1,0,1,1,0,0,0,0,0,0,3,1,4,0,1,1,0,0,0,0,0,0,571,Allamakee Pct 04 - Postville City
9,Pct 05 - LT/PC/WV CITY,569,154,154,308,20,102,122,0,0,0,0,0,0,0,1,1,1,1,2,5,1,6,1,1,2,0,0,0,0,1,1,442,Allamakee Pct 05 - LT/PC/WV CITY
10,Pct 06 - FV/TL/HF CITY,680,189,144,333,49,159,208,0,0,0,0,1,1,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,545,Allamakee Pct 06 - FV/TL/HF CITY
11,Pct 07 - CN/LF/LS/LS CITY,1790,314,387,701,122,413,535,0,1,1,0,1,1,0,0,0,0,0,0,7,4,11,0,0,0,1,0,1,1,0,1,1251,Allamakee Pct 07 - CN/LF/LS/LS CITY
12,Pct 08 - IA/UC/NA CITY,780,249,146,395,45,123,168,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,2,567,Allamakee Pct 08 - IA/UC/NA CITY
13,Pct 09 - Waukon 1,953,117,328,445,28,219,247,0,0,0,0,2,2,0,0,0,0,0,0,6,5,11,1,0,1,0,0,0,0,0,0,706,Allamakee Pct 09 - Waukon 1
14,Pct 10 - Waukon 2,1008,150,235,385,62,199,261,0,0,0,0,0,0,0,0,0,0,2,2,8,5,13,0,0,0,0,2,2,0,1,1,664,Allamakee Pct 10 - Waukon 2
15,Pct 11 - Waukon 3,911,105,322,427,24,206,230,0,0,0,1,2,3,0,0,0,0,0,0,2,4,6,0,0,0,0,0,0,0,3,3,669,Allamakee Pct 11 - Waukon 3
16,#1- North 1/2,2404,587,721,1308,120,421,541,0,0,0,0,4,4,0,0,0,2,1,3,11,10,21,1,1,2,1,0,1,0,2,2,1882,Audubon #1- North 1/2
17,#2- South 1/2,1936,513,474,987,143,387,530,0,1,1,0,1,1,0,0,0,3,1,4,6,5,11,1,0,1,1,0,1,2,0,2,1538,Audubon #2- South 1/2
18,Barclay Lester Dunkerton,1390,538,192,730,152,234,386,1,0,1,0,0,0,0,0,0,0,1,1,12,5,17,1,0,1,1,0,1,1,1,2,1139,BlackHawk Barclay Lester Dunkerton
19,Bennington,353,162,72,234,16,50,66,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,0,0,0,0,0,0,0,0,0,304,BlackHawk Bennington
20,Big Creek La Porte City,1803,587,291,878,180,382,562,0,1,1,1,0,1,0,0,0,1,2,3,14,8,22,0,0,0,4,0,4,1,1,2,1473,BlackHawk Big Creek La Porte City
21,Black Hawk Hudson Lincoln,2437,748,521,1269,229,529,758,0,2,2,1,1,2,0,0,0,0,1,1,12,9,21,0,0,0,2,1,3,3,1,4,2060,BlackHawk Black Hawk Hudson Lincoln
22,Cedar Orange,1410,404,259,663,139,352,491,0,0,0,1,0,1,0,1,1,2,1,3,4,4,8,2,0,2,0,0,0,0,4,4,1173,BlackHawk Cedar Orange
23,CF W1 P1,1379,350,201,551,158,361,519,0,0,0,0,0,0,0,1,1,1,2,3,3,5,8,1,0,1,0,2,2,1,0,1,1086,BlackHawk CF W1 P1
24,CF W1 P2,2256,339,304,643,217,844,1061,0,0,0,0,0,0,0,0,0,1,2,3,11,4,15,1,0,1,2,1,3,0,3,3,1729,BlackHawk CF W1 P2
25,CF W1 P3,2172,262,238,500,304,802,1106,0,0,0,2,0,2,0,0,0,0,5,5,19,4,23,1,0,1,2,2,4,2,3,5,1646,BlackHawk CF W1 P3
26,CF W2 P1,717,115,47,162,155,138,293,0,0,0,0,0,0,0,0,0,0,0,0,8,6,14,0,0,0,1,1,2,1,0,1,472,BlackHawk CF W2 P1
27,CF W2 P2 CF Twp,2667,465,465,930,327,742,1069,2,0,2,0,1,1,1,0,1,0,0,0,10,9,19,0,0,0,2,2,4,3,3,6,2032,BlackHawk CF W2 P2 CF Twp
28,CF W2 P3,3850,565,892,1457,231,1341,1572,0,1,1,0,0,0,0,0,0,1,1,2,9,21,30,0,3,3,1,2,3,4,7,11,3079,BlackHawk CF W2 P3
29,CF W3 P1,1836,327,397,724,154,569,723,2,2,4,0,2,2,0,1,1,2,0,2,4,16,20,0,0,0,2,6,8,1,3,4,1488,BlackHawk CF W3 P1
30,CF W3 P2,2681,530,556,1086,211,890,1101,1,0,1,0,0,0,0,0,0,0,1,1,14,13,27,0,1,1,0,1,1,0,6,6,2224,BlackHawk CF W3 P2
31,CF W3 P3,1451,151,166,317,139,302,441,1,0,1,0,0,0,0,0,0,0,0,0,3,8,11,0,0,0,1,0,1,0,0,0,771,BlackHawk CF W3 P3
32,CF W4 P1,2121,374,328,702,254,704,958,2,0,2,1,0,1,0,0,0,3,1,4,14,12,26,0,0,0,3,0,3,2,4,6,1702,BlackHawk CF W4 P1
33,CF W4 P2,1497,182,94,276,292,386,678,0,0,0,0,0,0,0,0,0,0,2,2,18,5,23,0,0,0,2,0,2,1,3,4,985,BlackHawk CF W4 P2
34,CF W4 P3,1190,141,47,188,206,232,438,0,0,0,0,0,0,0,0,0,3,0,3,6,5,11,0,0,0,1,0,1,3,1,4,645,BlackHawk CF W4 P3
35,CF W5 P1,1955,341,336,677,191,698,889,1,1,2,2,1,3,0,0,0,1,1,2,10,5,15,0,0,0,0,3,3,1,5,6,1597,BlackHawk CF W5 P1
36,CF W5 P2,2100,292,350,642,207,726,933,1,2,3,1,2,3,0,0,0,2,3,5,13,4,17,1,0,1,1,3,4,2,5,7,1615,BlackHawk CF W5 P2
37,CF W5 P3,1974,396,418,814,173,634,807,1,3,4,1,2,3,0,1,1,2,2,4,9,5,14,0,0,0,0,2,2,1,5,6,1655,BlackHawk CF W5 P3
38,Eagle,351,150,95,245,18,50,68,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,315,BlackHawk Eagle
39,Elk Run Heights Raymond,1419,418,219,637,143,336,479,0,0,0,1,0,1,0,0,0,1,0,1,6,7,13,0,0,0,1,3,4,1,1,2,1137,BlackHawk Elk Run Heights Raymond
40,Evansdale W1,774,210,82,292,101,174,275,0,1,1,0,1,1,0,0,0,0,0,0,6,3,9,0,0,0,1,0,1,0,0,0,579,BlackHawk Evansdale W1
41,Evansdale W2,736,179,101,280,94,149,243,0,0,0,0,1,1,0,0,0,0,1,1,7,1,8,0,0,0,3,0,3,0,0,0,536,BlackHawk Evansdale W2
42,Evansdale W3,784,183,86,269,57,155,212,1,0,1,0,2,2,0,1,1,0,0,0,5,3,8,0,0,0,1,1,2,2,1,3,498,BlackHawk Evansdale W3
43,Evansdale W4,871,242,103,345,105,195,300,2,0,2,0,0,0,0,0,0,0,0,0,8,4,12,0,0,0,1,1,2,0,1,1,662,BlackHawk Evansdale W4
44,Mt Vernon,805,198,194,392,43,215,258,1,1,2,0,1,1,1,2,3,0,0,0,2,1,3,1,0,1,0,2,2,1,2,3,665,BlackHawk Mt Vernon
45,Poyner P1 East Wloo,740,192,156,348,44,167,211,1,0,1,0,0,0,0,0,0,1,0,1,1,2,3,0,0,0,0,0,0,0,0,0,564,BlackHawk Poyner P1 East Wloo
46,Poyner P2 Gilb Fox Jesup,1424,442,296,738,104,353,457,0,0,0,1,0,1,0,0,0,2,0,2,3,2,5,0,1,1,1,1,2,0,1,1,1207,BlackHawk Poyner P2 Gilb Fox Jesup
47,Spring Creek,250,78,69,147,18,44,62,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,1,213,BlackHawk Spring Creek
48,Union,752,207,205,412,36,195,231,0,0,0,0,1,1,0,0,0,0,0,0,4,2,6,0,0,0,0,0,0,1,1,2,652,BlackHawk Union
49,Washington Janesville,527,186,96,282,46,101,147,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,0,0,0,1,1,0,1,1,436,BlackHawk Washington Janesville
50,WL W1 P1,1656,290,306,596,140,557,697,1,1,2,1,2,3,1,0,1,2,0,2,8,10,18,0,1,1,3,1,4,3,3,6,1330,BlackHawk WL W1 P1
51,WL W1 P2,1630,257,265,522,166,505,671,0,0,0,0,2,2,0,0,0,0,0,0,6,7,13,0,0,0,1,1,2,3,3,6,1216,BlackHawk WL W1 P2
52,WL W1 P3,1466,173,139,312,172,413,585,0,1,1,1,0,1,0,0,0,1,0,1,13,2,15,0,0,0,2,3,5,2,2,4,924,BlackHawk WL W1 P3
53,WL W1 P4,1622,287,296,583,137,497,634,0,0,0,2,0,2,0,0,0,2,0,2,4,12,16,0,0,0,2,0,2,2,3,5,1244,BlackHawk WL W1 P4
54,WL W1 P5,1401,274,236,510,148,445,593,0,0,0,0,0,0,0,1,1,2,0,2,3,5,8,0,0,0,1,0,1,3,0,3,1118,BlackHawk WL W1 P5
55,WL W1 P6,2397,414,593,1007,171,708,879,1,0,1,1,1,2,0,0,0,2,0,2,8,11,19,0,0,0,0,0,0,0,6,6,1916,BlackHawk WL W1 P6
56,WL W2 P1,1099,107,230,337,85,391,476,0,0,0,0,0,0,0,1,1,1,1,2,3,2,5,0,2,2,1,1,2,0,1,1,826,BlackHawk WL W2 P1
57,WL W2 P2,1097,133,131,264,115,333,448,0,0,0,0,0,0,0,0,0,1,0,1,4,2,6,0,0,0,0,1,1,1,1,2,722,BlackHawk WL W2 P2
58,WL W2 P3,1610,264,235,499,159,465,624,0,2,2,0,0,0,0,0,0,2,3,5,8,11,19,0,0,0,3,2,5,0,2,2,1156,BlackHawk WL W2 P3
59,WL W2 P4,2456,317,459,776,178,786,964,0,1,1,0,1,1,0,0,0,0,1,1,12,2,14,0,1,1,5,0,5,2,2,4,1767,BlackHawk WL W2 P4
60,WL W2 P5,1986,326,292,618,187,527,714,0,1,1,2,2,4,0,2,2,2,1,3,7,6,13,0,0,0,1,4,5,1,4,5,1365,BlackHawk WL W2 P5
61,WL W2 P6,1623,311,333,644,121,515,636,0,1,1,1,1,2,0,2,2,1,1,2,3,4,7,0,0,0,1,0,1,2,0,2,1297,BlackHawk WL W2 P6
62,WL W3 P1,1390,244,187,431,156,426,582,0,0,0,0,1,1,0,0,0,1,2,3,3,2,5,0,0,0,1,1,2,2,2,4,1028,BlackHawk WL W3 P1
63,WL W3 P2,1378,193,168,361,127,476,603,0,1,1,2,2,4,0,1,1,0,2,2,9,5,14,1,0,1,1,1,2,0,0,0,989,BlackHawk WL W3 P2
64,WL W3 P3,967,48,37,85,131,307,438,0,0,0,0,0,0,0,1,1,0,1,1,2,2,4,0,0,0,1,1,2,0,0,0,531,BlackHawk WL W3 P3
65,WL W3 P4,1088,93,86,179,144,296,440,0,0,0,0,1,1,0,0,0,0,0,0,4,0,4,0,0,0,4,1,5,1,0,1,630,BlackHawk WL W3 P4
66,WL W3 P5,1901,344,247,591,237,545,782,1,0,1,0,3,3,1,0,1,1,2,3,11,11,22,0,0,0,1,2,3,0,2,2,1408,BlackHawk WL W3 P5
67,WL W3 P6,1272,83,112,195,116,350,466,0,4,4,0,2,2,0,0,0,2,1,3,1,6,7,0,0,0,1,3,4,2,0,2,683,BlackHawk WL W3 P6
68,WL W4 P1,1360,47,40,87,201,478,679,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,1,771,BlackHawk WL W4 P1
69,WL W4 P2,1011,36,48,84,119,364,483,0,0,0,0,2,2,0,0,0,0,1,1,2,1,3,0,0,0,0,0,0,0,0,0,573,BlackHawk WL W4 P2
70,WL W4 P3,991,49,38,87,105,277,382,0,0,0,1,0,1,0,0,0,0,1,1,3,3,6,0,0,0,1,0,1,0,1,1,479,BlackHawk WL W4 P3
71,WL W4 P4,1235,124,132,256,130,368,498,1,0,1,3,1,4,0,0,0,2,0,2,2,3,5,0,0,0,3,0,3,0,2,2,771,BlackHawk WL W4 P4
72,WL W4 P5,1392,90,84,174,185,507,692,0,0,0,0,0,0,0,1,1,2,0,2,4,1,5,0,0,0,1,1,2,1,1,2,878,BlackHawk WL W4 P5
73,WL W4 P6,1092,168,121,289,88,242,330,1,0,1,1,1,2,0,0,0,1,1,2,4,3,7,0,0,0,1,1,2,3,2,5,638,BlackHawk WL W4 P6
74,WL W5 P1,843,78,58,136,100,188,288,0,1,1,0,0,0,0,0,0,0,1,1,5,1,6,1,0,1,2,0,2,1,2,3,438,BlackHawk WL W5 P1
75,WL W5 P2,1481,195,187,382,178,446,624,1,1,2,0,0,0,0,0,0,0,0,0,8,7,15,0,0,0,2,2,4,1,1,2,1029,BlackHawk WL W5 P2
76,WL W5 P3,1382,199,131,330,165,387,552,0,0,0,1,0,1,0,0,0,1,0,1,5,4,9,0,1,1,0,4,4,1,0,1,899,BlackHawk WL W5 P3
77,WL W5 P4,1609,259,234,493,178,496,674,1,0,1,0,0,0,0,0,0,2,2,4,5,8,13,0,1,1,2,1,3,1,2,3,1192,BlackHawk WL W5 P4
78,WL W5 P5,1609,305,249,554,166,597,763,1,1,2,1,0,1,0,0,0,2,0,2,9,5,14,0,0,0,0,1,1,0,1,1,1338,BlackHawk WL W5 P5
79,WL W5 P6,1430,195,233,428,147,509,656,0,0,0,0,0,0,0,0,0,0,2,2,7,2,9,0,0,0,1,1,2,0,1,1,1098,BlackHawk WL W5 P6
80,City of Denver/Jefferson Twp,0,725,539,1264,213,537,750,0,1,1,0,4,4,0,0,0,2,0,2,20,7,27,0,0,0,5,0,5,4,2,6,2059,Bremer City of Denver/Jefferson Twp
81,City of Frederika/Frederika Twp/Leroy Twp,0,155,49,204,44,61,105,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,1,0,1,0,0,0,313,Bremer City of Frederika/Frederika Twp/Leroy Twp
82,City of Janesville/Jackson Twp,0,358,266,624,113,270,383,0,1,1,1,1,2,0,0,0,1,0,1,10,3,13,0,0,0,0,0,0,0,0,0,1024,Bremer City of Janesville/Jackson Twp
83,Lafayette Twp/Warren Twp,0,259,223,482,67,244,311,0,0,0,0,1,1,1,0,1,0,1,1,6,2,8,1,0,1,0,0,0,1,0,1,806,Bremer Lafayette Twp/Warren Twp
84,City of Plainfield/Polk Twp/Douglas Twp,0,332,187,519,80,162,242,0,0,0,0,2,2,0,1,1,0,0,0,3,4,7,1,0,1,0,0,0,0,0,0,772,Bremer City of Plainfield/Polk Twp/Douglas Twp
85,City of Readlyn/Franklin Twp/Maxfield Twp,0,428,264,692,94,190,284,0,0,0,1,0,1,0,0,0,3,0,3,7,4,11,0,0,0,1,1,2,3,0,3,996,Bremer City of Readlyn/Franklin Twp/Maxfield Twp
86,City of Sumner/Dayton Twp/Sumner #2 Twp,0,716,301,1017,171,299,470,0,1,1,0,1,1,1,0,1,1,0,1,10,5,15,0,0,0,1,1,2,3,2,5,1513,Bremer City of Sumner/Dayton Twp/Sumner #2 Twp
87,City of Tripoli/Fremont Twp,0,375,157,532,136,218,354,0,0,0,0,1,1,0,0,0,0,0,0,8,2,10,0,0,0,2,1,3,1,1,2,902,Bremer City of Tripoli/Fremont Twp
88,City of Waverly Ward 1/ East Washington Twp,0,295,539,834,106,648,754,0,2,2,1,0,1,0,0,0,0,2,2,14,9,23,0,0,0,0,4,4,1,1,2,1622,Bremer City of Waverly Ward 1/ East Washington Twp
89,City of Waverly Ward 2/ NE 1/4 Sec 36 Washington Twp,0,235,415,650,87,505,592,0,0,0,0,0,0,0,0,0,1,0,1,5,9,14,0,0,0,0,0,0,3,1,4,1261,Bremer City of Waverly Ward 2/ NE 1/4 Sec 36 Washington Twp
90,City of Waverly Ward 3,0,153,134,287,103,268,371,0,0,0,0,1,1,0,1,1,4,4,8,6,6,12,1,1,2,0,1,1,0,1,1,684,Bremer City of Waverly Ward 3
91,City of Waverly Ward 4,0,274,299,573,147,485,632,2,0,2,0,3,3,0,0,0,1,0,1,11,10,21,0,0,0,0,1,1,2,3,5,1238,Bremer City of Waverly Ward 4
92,City of Waverly Ward 5/West Washington Twp,0,252,364,616,100,610,710,0,1,1,0,2,2,0,0,0,1,3,4,10,11,21,0,0,0,0,1,1,0,1,1,1356,Bremer City of Waverly Ward 5/West Washington Twp
93,ACFC,749,293,160,453,53,88,141,1,0,1,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,1,0,1,602,BuenaVista ACFC
94,ALNE,1731,518,326,844,127,228,355,1,2,3,1,0,1,0,1,1,0,1,1,5,2,7,0,0,0,2,1,3,1,1,2,1217,BuenaVista ALNE
95,LKHM,939,188,294,482,40,175,215,1,0,1,0,0,0,0,0,0,1,0,1,3,1,4,0,0,0,1,0,1,0,1,1,705,BuenaVista LKHM
96,NENP,952,300,220,520,60,104,164,0,0,0,0,4,4,1,0,1,0,0,0,6,0,6,1,1,2,2,0,2,1,0,1,700,BuenaVista NENP
97,SMLR,1718,540,408,948,88,211,299,0,1,1,2,0,2,0,0,0,0,0,0,5,4,9,0,0,0,1,0,1,0,0,0,1260,BuenaVista SMLR
98,SL01,1594,135,240,375,131,322,453,2,2,4,3,0,3,0,0,0,0,2,2,3,1,4,0,0,0,1,3,4,0,0,0,845,BuenaVista SL01
99,SL02,1112,76,105,181,77,203,280,1,1,2,0,1,1,0,0,0,1,0,1,0,2,2,0,0,0,1,2,3,2,0,2,472,BuenaVista SL02
100,SL03,1543,188,353,541,94,345,439,1,0,1,0,2,2,0,0,0,1,2,3,4,4,8,0,0,0,1,1,2,1,4,5,1001,BuenaVista SL03
101,SL04,1646,145,205,350,132,352,484,0,2,2,0,2,2,0,0,0,0,1,1,7,8,15,0,0,0,1,1,2,3,3,6,862,BuenaVista SL04
102,TRWG,589,146,216,362,27,104,131,0,0,0,0,0,0,1,0,1,0,1,1,3,2,5,0,1,1,1,1,2,0,0,0,503,BuenaVista TRWG
103,Butler Williams,608,212,126,338,48,99,147,0,1,1,0,0,0,0,0,0,1,0,1,1,2,3,0,0,0,2,0,2,0,0,0,492,Calhoun Butler Williams
104,"Calhoun, Jackson, Elm Grove & Lake City",1430,490,254,744,110,245,355,1,0,1,1,1,2,0,0,0,1,0,1,3,3,6,0,0,0,1,2,3,0,0,0,1112,"Calhoun Calhoun, Jackson, Elm Grove & Lake City"
105,Cedar,225,98,44,142,14,26,40,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,Calhoun Cedar
106,"Center, Logan, Twin Lakes, Garfield & Lake Creek",563,154,203,357,20,84,104,0,0,0,0,0,0,0,0,0,1,0,1,4,0,4,0,0,0,1,1,2,0,2,2,470,"Calhoun Center, Logan, Twin Lakes, Garfield & Lake Creek"
107,Greenfield and Lincoln 2,282,123,45,168,12,36,48,0,0,0,0,1,1,1,0,1,0,0,0,2,2,4,0,0,0,1,0,1,0,0,0,223,Calhoun Greenfield and Lincoln 2
108,Lincoln 1,1238,445,236,681,118,162,280,1,1,2,1,1,2,0,1,1,0,0,0,12,7,19,1,0,1,1,0,1,2,0,2,989,Calhoun Lincoln 1
109,Reading,347,150,53,203,23,44,67,0,0,0,0,1,1,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,274,Calhoun Reading
110,Rockwell City,1166,304,297,601,58,235,293,1,0,1,0,1,1,0,0,0,0,0,0,11,5,16,0,1,1,0,1,1,1,1,2,916,Calhoun Rockwell City
111,Sherman,382,122,140,262,20,63,83,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,346,Calhoun Sherman
112,Union,308,135,58,193,25,28,53,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,2,1,3,252,Calhoun Union
113,AT1 / MR / BR-GV-WS-PY-TWPS,1859,388,522,910,84,274,358,0,0,0,0,1,1,0,0,0,1,1,2,5,3,8,0,0,0,2,1,3,1,3,4,1286,Cass AT1 / MR / BR-GV-WS-PY-TWPS
114,"AT2, 3",1899,324,502,826,122,355,477,0,0,0,2,1,3,0,0,0,1,0,1,10,2,12,0,0,0,1,2,3,1,0,1,1323,"Cass AT2, 3"
115,"AT4, 5",2240,297,779,1076,77,478,555,0,1,1,0,3,3,0,0,0,0,1,1,5,7,12,0,0,0,1,0,1,0,3,3,1652,"Cass AT4, 5"
116,LW / CS-BG TWPS,621,221,135,356,43,80,123,0,0,0,0,0,0,1,0,1,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,483,Cass LW / CS-BG TWPS
117,GS / PL-NO TWPS,1158,425,215,640,85,138,223,1,0,1,1,0,1,0,0,0,0,0,0,3,4,7,0,0,0,0,3,3,0,1,1,876,Cass GS / PL-NO TWPS
118,CU / UN TWP,308,136,45,181,10,37,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,230,Cass CU / UN TWP
119,MS / MS TWP,388,165,54,219,36,53,89,0,0,0,0,1,1,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,312,Cass MS / MS TWP
120,AN / WI / GN-LN-BN-FR TWPS,1308,395,265,660,95,201,296,1,0,1,1,0,1,0,0,0,1,1,2,15,2,17,1,0,1,1,0,1,0,1,1,980,Cass AN / WI / GN-LN-BN-FR TWPS
121,Ed TWP / VI TWP,172,57,44,101,9,24,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,Cass Ed TWP / VI TWP
122,Clear Lake Ward 1,1989,490,445,935,151,472,623,1,1,2,0,1,1,0,0,0,0,0,0,4,7,11,0,0,0,2,1,3,2,2,4,1579,CerroGordo Clear Lake Ward 1
123,Clear Lake Ward 2,2231,530,429,959,169,512,681,1,2,3,0,1,1,1,1,2,1,2,3,13,5,18,0,0,0,0,1,1,1,6,7,1675,CerroGordo Clear Lake Ward 2
124,Clear Lake Ward 3,1870,506,340,846,179,417,596,0,0,0,1,2,3,0,0,0,2,0,2,8,4,12,0,0,0,2,0,2,1,3,4,1465,CerroGordo Clear Lake Ward 3
125,Clear Lake / Grant / Union Twps Pct,1677,557,362,919,125,330,455,0,0,0,1,1,2,0,0,0,1,0,1,7,3,10,0,0,0,1,1,2,4,3,7,1396,CerroGordo Clear Lake / Grant / Union Twps Pct
126,Falls Twp - Plymouth Pct,450,161,56,217,52,78,130,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,350,CerroGordo Falls Twp - Plymouth Pct
127,Falls Twp - Rock Falls Pct,288,88,52,140,29,64,93,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,235,CerroGordo Falls Twp - Rock Falls Pct
128,Geneseo Twp Pct,864,332,109,441,108,140,248,1,0,1,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,2,1,3,2,0,2,698,CerroGordo Geneseo Twp Pct
129,Grimes Twp - Meservey Pct,220,75,25,100,30,20,50,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,153,CerroGordo Grimes Twp - Meservey Pct
130,Grimes Twp - Thornton Pct,325,128,37,165,53,28,81,2,0,2,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,251,CerroGordo Grimes Twp - Thornton Pct
131,Lake / Lincoln Twps Pct,418,125,95,220,26,62,88,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,311,CerroGordo Lake / Lincoln Twps Pct
132,Lime Creek / Mason North Twps Pct,420,81,119,200,27,97,124,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,2,2,0,0,0,329,CerroGordo Lime Creek / Mason North Twps Pct
133,Mason City W-1 P-1,1259,146,184,330,105,357,462,1,0,1,0,2,2,0,0,0,0,2,2,5,3,8,0,0,0,2,1,3,1,2,3,811,CerroGordo Mason City W-1 P-1
134,Mason City W-1 P-2,1631,315,239,554,155,468,623,1,0,1,0,2,2,0,0,0,1,0,1,11,3,14,0,1,1,3,2,5,2,1,3,1204,CerroGordo Mason City W-1 P-2
135,Mason City W-1 P-3,1845,337,331,668,150,519,669,0,1,1,1,0,1,1,0,1,1,2,3,9,8,17,0,0,0,3,0,3,1,2,3,1366,CerroGordo Mason City W-1 P-3
136,Mason City W-2 P-1,1249,149,187,336,125,300,425,2,1,3,0,0,0,0,0,0,2,2,4,7,6,13,0,0,0,1,2,3,0,2,2,786,CerroGordo Mason City W-2 P-1
137,Mason City W-2 P-2,2065,295,428,723,197,713,910,0,1,1,1,0,1,0,1,1,0,1,1,1,5,6,1,0,1,1,1,2,2,2,4,1650,CerroGordo Mason City W-2 P-2
138,Mason City W-2 P-3,1448,258,182,440,171,336,507,1,0,1,0,0,0,0,0,0,1,0,1,2,1,3,0,0,0,2,0,2,0,1,1,955,CerroGordo Mason City W-2 P-3
139,Mason City W-3 P-1,1534,242,255,497,134,509,643,0,1,1,0,1,1,0,0,0,0,3,3,4,5,9,0,2,2,0,2,2,0,1,1,1159,CerroGordo Mason City W-3 P-1
140,Mason City W-3 P-2,1411,231,221,452,144,369,513,1,3,4,0,1,1,0,0,0,1,0,1,5,5,10,0,0,0,3,3,6,0,1,1,988,CerroGordo Mason City W-3 P-2
141,Mason City W-3 P-3,2335,423,454,877,172,699,871,2,3,5,0,1,1,0,0,0,1,3,4,15,5,20,0,0,0,1,1,2,2,2,4,1784,CerroGordo Mason City W-3 P-3
142,Mason City W-4 P-1,1319,165,190,355,127,375,502,0,2,2,0,3,3,0,0,0,1,2,3,3,3,6,1,0,1,2,1,3,1,1,2,877,CerroGordo Mason City W-4 P-1
143,Mason City W-4 P-2,1479,313,225,538,166,352,518,2,3,5,2,1,3,0,0,0,1,2,3,2,2,4,0,0,0,0,0,0,0,4,4,1075,CerroGordo Mason City W-4 P-2
144,Mason City W-4 P-3,1901,303,372,675,134,590,724,1,1,2,0,0,0,1,0,1,1,2,3,5,8,13,0,0,0,1,0,1,3,1,4,1423,CerroGordo Mason City W-4 P-3
